DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
2023-01-02T09:15:00+01:00,Validated,PT15M,29.833,-23.126,0.0,175.0,0.0,,175.0,175.0
2023-01-02T09:30:00+01:00,Validated,PT15M,57.068,-76.527,0.0,175.0,0.0,,175.0,175.0
2023-01-02T09:45:00+01:00,Validated,PT15M,41.596,-73.757,0.0,175.0,0.0,,175.0,175.0
2023-01-02T10:00:00+01:00,Validated,PT15M,183.896,-193.325,1.53,178.66,0.0,,180.18,180.18
2023-01-02T10:15:00+01:00,Validated,PT15M,69.304,-87.786,0.0,175.0,0.0,,175.0,175.0
2023-01-02T10:30:00+01:00,Validated,PT15M,-0.565,-11.808,0.0,175.0,0.0,,175.0,175.0
2023-01-02T10:45:00+01:00,Validated,PT15M,-143.486,215.893,0.98,175.0,-26.84,,-27.82,-27.82
2023-01-02T11:00:00+01:00,Validated,PT15M,-274.874,253.788,3.69,175.0,-95.28,,-98.97,-98.97
2023-01-02T11:15:00+01:00,Validated,PT15M,-173.369,195.743,3.52,175.0,-84.0,,-87.52,-87.52
2023-01-02T11:30:00+01:00,Validated,PT15M,-116.325,79.244,0.0,234.89,-104.81,,-104.81,-104.81
2023-01-02T11:45:00+01:00,Validated,PT15M,268.739,-255.404,2.55,184.74,0.0,,187.29,187.29
2023-01-02T12:00:00+01:00,Validated,PT15M,295.652,-301.075,13.29,178.71,0.0,,192.0,192.0
2023-01-02T12:15:00+01:00,Validated,PT15M,143.287,-136.432,0.0,321.89,0.0,,321.89,321.89
2023-01-02T12:30:00+01:00,Validated,PT15M,123.231,-126.224,0.0,308.87,0.0,,308.87,308.87
2023-01-02T12:45:00+01:00,Validated,PT15M,104.893,-94.161,0.0,308.87,-19.53,,308.87,308.87
2023-01-02T13:00:00+01:00,Validated,PT15M,146.315,-143.678,0.0,308.87,-58.79,,308.87,308.87
2023-01-02T13:15:00+01:00,Validated,PT15M,117.13,-149.927,0.0,308.87,-60.46,,308.87,308.87
2023-01-02T13:30:00+01:00,Validated,PT15M,131.41,-171.336,1.05,308.87,-1.85,,309.92,309.92
2023-01-02T13:45:00+01:00,Validated,PT15M,107.105,-69.32,0.0,308.87,-53.8,,308.87,308.87
2023-01-02T14:00:00+01:00,Validated,PT15M,-74.896,51.212,0.0,175.0,-129.46,,-129.46,-129.46
2023-01-02T14:15:00+01:00,Validated,PT15M,-58.582,62.689,0.0,175.0,-62.83,,-62.83,-62.83
2023-01-02T14:30:00+01:00,Validated,PT15M,23.412,-31.337,0.0,175.0,0.0,,175.0,175.0
2023-01-02T14:45:00+01:00,Validated,PT15M,-57.75,50.169,0.0,175.0,0.0,,0.0,0.0
2023-01-02T15:00:00+01:00,Validated,PT15M,-32.773,18.991,0.0,175.0,0.0,,0.0,0.0
2023-01-02T15:15:00+01:00,Validated,PT15M,-26.312,15.621,0.0,175.0,0.0,,0.0,0.0
2023-01-02T15:30:00+01:00,Validated,PT15M,-22.468,6.065,0.0,175.0,0.0,,0.0,0.0
2023-01-02T15:45:00+01:00,Validated,PT15M,-43.897,44.358,0.0,175.0,0.0,,0.0,0.0
2023-01-02T16:00:00+01:00,Validated,PT15M,-65.906,58.914,0.0,175.0,-0.96,,-0.96,-0.96
2023-01-02T16:15:00+01:00,Validated,PT15M,-26.598,10.028,0.0,175.0,0.0,,0.0,0.0
2023-01-02T16:30:00+01:00,Validated,PT15M,40.603,-59.356,0.0,175.0,0.0,,175.0,175.0
2023-01-02T16:45:00+01:00,Validated,PT15M,114.223,-127.197,0.0,175.0,0.0,,175.0,175.0
2023-01-02T17:00:00+01:00,Validated,PT15M,-103.359,117.478,0.0,175.0,-79.04,,-79.04,-79.04
2023-01-02T17:15:00+01:00,Validated,PT15M,-16.964,5.876,0.0,175.0,0.0,,0.0,0.0
2023-01-02T17:30:00+01:00,Validated,PT15M,75.787,-89.405,0.0,175.0,0.0,,175.0,175.0
2023-01-02T17:45:00+01:00,Validated,PT15M,140.255,-139.986,0.0,174.96,0.0,,174.96,174.96
2023-01-02T18:00:00+01:00,Validated,PT15M,143.827,-151.468,1.84,172.49,0.0,,174.33,174.33
2023-01-02T18:15:00+01:00,Validated,PT15M,167.637,-173.988,2.38,171.52,0.0,,173.9,173.9
2023-01-02T18:30:00+01:00,Validated,PT15M,115.685,-122.773,0.0,249.0,0.0,,249.0,249.0
2023-01-02T18:45:00+01:00,Validated,PT15M,48.889,-43.178,0.0,249.0,0.13,,249.0,249.0
2023-01-02T19:00:00+01:00,Validated,PT15M,82.528,-85.104,0.0,249.0,3.06,,249.0,249.0
2023-01-02T19:15:00+01:00,Validated,PT15M,1.144,8.374,0.0,249.0,0.91,,0.91,0.91
2023-01-02T19:30:00+01:00,Validated,PT15M,-59.288,70.988,0.0,175.0,0.66,,0.66,0.66
2023-01-02T19:45:00+01:00,Validated,PT15M,-64.027,87.031,0.0,175.0,0.35,,0.35,0.35
2023-01-02T20:00:00+01:00,Validated,PT15M,115.765,-137.417,0.0,169.09,71.03,,169.09,169.09
2023-01-02T20:15:00+01:00,Validated,PT15M,75.311,-70.205,0.0,169.09,71.87,,169.09,169.09
2023-01-02T20:30:00+01:00,Validated,PT15M,51.929,-47.082,0.0,166.24,70.0,,166.24,166.24
2023-01-02T20:45:00+01:00,Validated,PT15M,-37.778,63.943,0.0,164.09,70.0,,70.0,70.0
2023-01-02T21:00:00+01:00,Validated,PT15M,-17.577,0.756,0.0,168.65,70.0,,70.0,70.0
2023-01-02T21:15:00+01:00,Validated,PT15M,17.508,-24.268,0.0,168.64,70.0,,168.64,168.64
2023-01-02T21:30:00+01:00,Validated,PT15M,-34.951,39.554,0.0,164.09,70.0,,70.0,70.0
2023-01-02T21:45:00+01:00,Validated,PT15M,13.004,14.936,0.0,168.22,60.07,,60.07,60.07
2023-01-02T22:00:00+01:00,Validated,PT15M,14.64,-52.048,0.0,169.09,55.82,,169.09,169.09
2023-01-02T22:15:00+01:00,Validated,PT15M,95.904,-88.209,0.0,169.09,72.03,,169.09,169.09
2023-01-02T22:30:00+01:00,Validated,PT15M,-17.316,28.444,0.0,164.09,70.79,,70.79,70.79
2023-01-02T22:45:00+01:00,Validated,PT15M,62.488,-64.382,0.0,169.09,72.36,,169.09,169.09
2023-01-02T23:00:00+01:00,Validated,PT15M,98.691,-87.134,0.0,167.42,70.0,,167.42,167.42
2023-01-02T23:15:00+01:00,Validated,PT15M,24.935,-16.919,0.0,164.82,70.0,,164.82,164.82
2023-01-02T23:30:00+01:00,Validated,PT15M,36.08,-40.288,0.0,167.65,70.0,,167.65,167.65
2023-01-02T23:45:00+01:00,Validated,PT15M,35.857,-36.02,0.0,164.09,70.0,,164.09,164.09
2023-01-03T00:00:00+01:00,Validated,PT15M,120.371,-111.357,0.0,175.0,70.0,,175.0,175.0
2023-01-03T00:15:00+01:00,Validated,PT15M,104.896,-80.631,0.0,175.0,70.49,,175.0,175.0
2023-01-03T00:30:00+01:00,Validated,PT15M,46.805,-53.519,0.0,325.0,68.93,,325.0,325.0
2023-01-03T00:45:00+01:00,Validated,PT15M,-36.462,31.332,0.0,175.0,70.43,,70.43,70.43
2023-01-03T01:00:00+01:00,Validated,PT15M,250.607,-270.224,1.98,175.0,70.74,,176.98,176.98
2023-01-03T01:15:00+01:00,Validated,PT15M,243.504,-236.514,9.26,175.0,72.1,,184.26,184.26
2023-01-03T01:30:00+01:00,Validated,PT15M,206.952,-199.165,5.47,175.0,72.1,,180.47,180.47
2023-01-03T01:45:00+01:00,Validated,PT15M,157.019,-155.392,2.97,175.0,72.1,,177.97,177.97
2023-01-03T02:00:00+01:00,Validated,PT15M,196.413,-222.816,3.55,175.0,72.1,,178.55,178.55
2023-01-03T02:15:00+01:00,Validated,PT15M,170.965,-165.552,1.44,325.0,70.0,,326.44,326.44
2023-01-03T02:30:00+01:00,Validated,PT15M,71.962,-82.232,0.0,325.0,70.0,,325.0,325.0
2023-01-03T02:45:00+01:00,Validated,PT15M,24.016,-37.938,0.0,175.0,70.0,,175.0,175.0
2023-01-03T03:00:00+01:00,Validated,PT15M,-81.008,79.169,0.0,175.0,70.0,,70.0,70.0
2023-01-03T03:15:00+01:00,Validated,PT15M,-118.587,152.992,1.08,175.0,-14.53,,-15.62,-15.62
2023-01-03T03:30:00+01:00,Validated,PT15M,-186.931,182.381,1.36,175.0,-93.66,,-95.03,-95.03
2023-01-03T03:45:00+01:00,Validated,PT15M,-145.136,138.762,0.0,175.0,-87.0,,-87.0,-87.0
2023-01-03T04:00:00+01:00,Validated,PT15M,-19.55,3.275,0.0,175.0,-87.0,,-87.0,-87.0
2023-01-03T04:15:00+01:00,Validated,PT15M,-60.764,55.535,0.0,175.0,77.88,,77.88,77.88
2023-01-03T04:30:00+01:00,Validated,PT15M,-42.537,24.859,0.0,175.0,80.1,,80.1,80.1
2023-01-03T04:45:00+01:00,Validated,PT15M,-143.737,136.653,0.0,175.0,74.99,,74.99,74.99
2023-01-03T05:00:00+01:00,Validated,PT15M,214.755,-225.174,3.14,175.0,80.1,,178.14,178.14
2023-01-03T05:15:00+01:00,Validated,PT15M,189.413,-204.734,5.24,175.0,74.1,,180.24,180.24
2023-01-03T05:30:00+01:00,Validated,PT15M,196.522,-257.847,6.68,176.33,74.1,,183.01,183.01
2023-01-03T05:45:00+01:00,Validated,PT15M,159.149,-142.873,0.0,389.0,73.71,,389.0,389.0
2023-01-03T06:00:00+01:00,Validated,PT15M,90.596,-107.182,0.0,175.0,74.08,,175.0,175.0
2023-01-03T06:15:00+01:00,Validated,PT15M,152.388,-168.667,1.63,175.0,70.0,,176.63,176.63
2023-01-03T06:30:00+01:00,Validated,PT15M,92.469,-122.617,0.0,175.0,70.0,,175.0,175.0
2023-01-03T06:45:00+01:00,Validated,PT15M,277.828,-316.632,5.62,178.01,70.0,,183.62,183.62
2023-01-03T07:00:00+01:00,Validated,PT15M,160.531,-128.673,0.0,325.0,69.99,,325.0,325.0
2023-01-03T07:15:00+01:00,Validated,PT15M,96.407,-120.098,0.0,325.0,69.99,,325.0,325.0
2023-01-03T07:30:00+01:00,Validated,PT15M,129.115,-140.431,0.0,325.0,70.0,,325.0,325.0
2023-01-03T07:45:00+01:00,Validated,PT15M,123.414,-176.976,1.24,289.0,70.0,,290.24,290.24
2023-01-03T08:00:00+01:00,Validated,PT15M,15.072,12.69,0.0,176.86,40.42,,40.42,40.42
2023-01-03T08:15:00+01:00,Validated,PT15M,212.604,-247.79,1.45,177.04,70.0,,178.49,178.49
2023-01-03T08:30:00+01:00,Validated,PT15M,250.951,-274.879,0.57,389.0,70.0,,389.57,389.57
2023-01-03T08:45:00+01:00,Validated,PT15M,317.568,-328.672,0.0,426.69,70.0,,426.69,426.69
2023-01-03T09:00:00+01:00,Validated,PT15M,17.5,0.382,0.0,389.0,-43.05,,-43.05,-43.05
2023-01-03T09:15:00+01:00,Validated,PT15M,-58.477,75.282,0.0,325.0,67.83,,67.83,67.83
2023-01-03T09:30:00+01:00,Validated,PT15M,-117.279,139.139,0.0,173.61,68.82,,68.82,68.82
2023-01-03T09:45:00+01:00,Validated,PT15M,-108.596,151.428,1.82,171.17,0.0,,-1.82,-1.82
2023-01-03T10:00:00+01:00,Validated,PT15M,-138.582,137.35,0.0,176.68,-4.97,,-4.97,-4.97
2023-01-03T10:15:00+01:00,Validated,PT15M,-211.182,205.782,2.72,170.02,0.0,,-2.72,-2.72
2023-01-03T10:30:00+01:00,Validated,PT15M,-79.928,84.372,0.0,174.22,0.0,,0.0,0.0
2023-01-03T10:45:00+01:00,Validated,PT15M,-78.645,83.981,0.0,173.28,52.29,,52.29,52.29
2023-01-03T11:00:00+01:00,Validated,PT15M,63.615,-115.895,0.0,173.09,67.45,,173.09,173.09
